party,text
Groep Markuszower,"De heer Claassen (Groep Markuszower): Voorzitter. Geen kreunende en steunende bouwvakkers die slepen met stenen om te bouwen, wat hard nodig is in dit land, maar kreunende en steunende Nederlanders die graag een huis willen, maar er wordt niet gebouwd door allerlei rare regels waar we bijna geen grip op hebben. In minstens 40 gemeentes loopt de bouw van tienduizenden woningen vertraging op door een 50 meter-bufferzone die niet eens in de wet is vastgelegd, maar die voortvloeit uit eerdere rechtszaken. Zelfs rondom weilanden zonder bestrijdingsmiddelen wordt deze regel ingezet om de woningbouw te blokkeren. Het kabinet heeft dit, ondanks jaren van knelpunten, nog steeds niet heeft opgelost. Ik wil daarom graag een debat met de minister van Volkshuisvesting en Ruimtelijke Ordening en de minister van Landbouw, Visserij, Voedselzekerheid en Natuur om dit eens aan te pakken en eindelijk te kunnen gaan bouwen."
DENK,"De heer El Abassi (DENK): Voorzitter. Ik gaf al aan dat je met je tengels van onze politiemensen af moet blijven. Je blijft ook af van onze raadsleden, onze volksvertegenwoordigers, net als van onze burgemeesters. Daar blijf je van af. Keer op keer heb ik hier een debat aangevraagd om te voorkomen dat het nog een keer gebeurt. En keer op keer gebeurt het toch. Weer worden raadsleden aangevallen. Weer worden burgemeesters aangevallen. Vandaag heb ik daar mondelinge vragen over gesteld."
DENK,De heer El Abassi (DENK): Ik heb gezien dat we niet verder kwamen. Ik zie het zo gebeuren dat bij de eerstvolgende demonstratie weer onze bewindslieden worden aangevallen. Daarom vraag ik nu weer een debat aan met de minister van Justitie en Veiligheid. Daarbij wil ik aantekenen dat ik weet dat ik een dertigledendebat heb staan. Dit heb ik net voor de tweede keer verlengd. Dit komt mogelijk weer te vervallen. Ik wil het eigenlijk omzetten naar een meerderheidsdebat. Wat mij betreft kan dat dertigledendebat dan komen te vervallen. Ik weet zeker — dat is mijn gevoel — dat ik steun ga krijgen vanuit de Kamer vandaag.
BBB,"Mevrouw Van der Plas (BBB): Voorzitter. Er wordt nog een tweeminutendebat ingepland over de Spreidingswet. Morgen is er een commissiedebat Asiel- en vreemdelingenbeleid. Als je het hierover wilt hebben, is dat wel echt de snelste manier. Dat is de plek om het te doen. Maar ik wil er wel bij gezegd hebben dat de burgers die protesteren eigenlijk worden ondergesneeuwd door dit soort vernielingen en rellen. We moeten er wel alert op blijven dat er heel veel grote zorgen zijn bij burgers over de komst van azc's. Maar vernielingen en geweld mogen natuurlijk nooit."
JA21,"De heer Boomsma (JA21): Als de Kamer instemt met mijn tweede verzoek, kan ik het eerste meteen intrekken. Mijn tweede verzoek betreft namelijk het volgende. De bijeenkomst van de Raad van Europa in Moldavië gaat over een politieke verklaring die wordt opgesteld over de interpretatie van het Europese Hof voor de Rechten van de Mens door het Hof in Straatsburg. Dit is een uitwerking van de open brief van politici uit negen landen, waaronder Bart De Wever, die hebben gezegd: wij moeten als politici meer ruimte krijgen om op te treden en het EVRM verhindert het ons op dit moment om effectief migratiebeleid te kunnen voeren. In december hebben 27 landen zich daarbij aangesloten. Daar wordt vrijdag over gesproken. Dit is zulke belangrijke, cruciale maar ook wel complexe materie, dat ik denk dat een tweeminutendebat gewoon niet genoeg is om hierover te kunnen spreken. Ik denk dat we ook echt goed moeten kunnen debatteren met elkaar over de moties. Daarom het verzoek om dit tweeminutendebat meteen om te zetten in een plenair debat."
VVD,"De heer Ellian (VVD): Inhoudelijk begrijp ik alles wat de heer Boomsma zegt. Morgen een tweeminutendebat inclusief stemmingen: vanzelfsprekend. Maar laten we het daarbij houden. Een andere keer een plenair debat, als er een nieuw verzoek komt, wil ik graag overwegen, maar daar geef ik nu dus geen steun voor."
BBB,"De heer Vermeer (BBB): Steun, maar ik zie niet helemaal in hoe we dat in de agenda geperst krijgen. Het debat over de voorgenomen fusie tussen Hilversum en Wijdemeren kan absoluut niet later, in verband met alle deadlines die daar weer aan vastzitten. Het zou wel later op de avond kunnen, maar dan gaan we door tot diep in de nacht."
Groep Markuszower,"De heer Heutink (Groep Markuszower): Voorzitter. Geweldig nieuws: de klimaathysterie is eindelijk voorbij. Althans, dat zouden we hopen. Al jarenlang baseert de overheid het klimaatbeleid op basis van het door IPCC opgestelde horrorscenario. Dat horrorscenario is nu van tafel. Maar Nederland gaat gewoon dom door. Er verdwijnen miljarden in klimaatfondsen en de Nederlandse industrie wordt kapotgemaakt vanwege veel te strenge CO2-regels. We moeten dus af van dat verschrikkelijke en verstikkende klimaatbeleid. Daarom verzoek ik om een debat met de minister van Klimaat en Groene Groei."
PvdD,"Mevrouw Teunissen (PvdD): Voorzitter. We moeten in dit huis rapporten wel goed lezen. Er staat dat ook het lichtste scenario afvalt. Er staat ook dat de wereld nog steeds afkoerst op meer dan 1,5 graad. Het is mede dankzij klimaatbeleid dat het meest extreme scenario is weggevallen. Ik steun het verzoek wel, maar ik heb dus een hele andere lezing van het rapport dan de heer Heutink. Ik wil graag een debat over hoe we nou effectief klimaatbeleid hebben, zodat we nog meer scenario's kunnen afschrijven."
Groep Markuszower,"De heer Heutink (Groep Markuszower): Voorzitter. Bij meerderheid zegt deze Kamer: hou DigiD in Nederland. Wat gebeurt er ondertussen? Het kabinet verlengt het contract met DigiD, met als resultaat dat er bijna geen kans meer is om DigiD in Nederland te houden. Dankzij een dappere CPO van Logius zijn de risico's duidelijker naar voren gebracht dan ooit. We moeten het niet willen dat de Amerikaanse overheid de toegang tot onze overheidssystemen kan stilleggen. We moeten ook niet willen dat een ambtenaar die goud waard is voor Nederland, verloren gaat voor de overheidsdienst. Die zou wat ons betreft een lintje moeten krijgen. Voorzitter. Als we nu beginnen met aanbesteden, kunnen we nog op tijd zijn om deze rampzalige gebeurtenis tegen te houden. Daarom wil ik, het liefst uiterlijk volgende week, een debat over DigiD houden met de staatssecretaris van Binnenlandse Zaken en de staatssecretaris van Economische Zaken."
GroenLinks-PvdA,"Mevrouw Kathmann (GroenLinks-PvdA): Ik hamer al weken op een debat over DigiD. We hebben namelijk geen tijd te verliezen. Gezien de moties die zijn aangenomen in de Kamer, is het niet de vraag of we DigiD in Nederlandse handen kúnnen brengen, maar hoe we dat doen en wanneer. We hebben geen tijd te verliezen. Van harte steun."
SP,"Mevrouw Beckerman (SP): Ik feliciteer mevrouw Kathmann. De steun is niet alleen vanwege haar verjaardag, maar ook vanwege de inhoud. De Kamer is namelijk al heel erg duidelijk geweest: we willen DigiD in Nederlandse handen houden. De lijn is alleen nog steeds heel erg diffuus. Het dreigt te verdwijnen. Daarom heel veel steun voor dit noodzakelijke debat op zeer korte termijn."
D66,"Mevrouw Podt (D66): Felicitaties aan mevrouw Kathmann. Wij willen hier graag een keer over debatteren, maar we wachten wel eventjes op de BTI-toets die er nog aan komt. Dat geeft ons ook iets meer ruimte. Ik begin zo langzamerhand te hopen dat volgende week 33 dagen heeft, want we krijgen het volgens mij allemaal niet ingepland."
CDA,Mevrouw Zwinkels (CDA): Ook wij wachten eerst graag de BTI-toets af. Anders krijgen we gewoon een herhaling van zetten van het vorige plenaire debat. Daarin hebben we wel degelijk met elkaar een aantal hele belangrijke moties ingediend om het kabinet hiervoor aan het werk te zetten. We wachten dat graag eerst af voordat we hier wéér een debat met elkaar aangaan.
FVD,"Mevrouw De Vos (FVD): Dank, voorzitter. De afgelopen weken hebben we een groeiende weerstand in de samenleving kunnen zien tegen de Spreidingswet. Dat zien we in Loosdrecht, Apeldoorn en Tilburg en als we niet oppassen straks in heel Nederland, als het beleid niet verandert. Ik heb de afgelopen weken vele gezinnen, jonge meisjes, vrouwen, ouders, grootouders, gewone Nederlanders gesproken die zich grote zorgen maken over de azc's die bij hen in de achtertuin worden geplant. Daarom zou ik graag een debat willen aanvragen met de minister van Asiel en Migratie over de groeiende weerstand in de samenleving tegen de Spreidingswet. Ik weet dat er morgen een commissiedebat op de planning staat, maar ik vind dit onderwerp te groot. Ik zou daar graag aan toe willen voegen dat er ook een groot asieldebat op de planning staat, dat nog niet is ingepland. Ik kan me ook voorstellen dat we die debatten samenvoegen, maar dan zou ik willen voorstellen om dat wel volgende week of de week daarop in te plannen."
VVD,"De heer Ellian (VVD): Er worden zo veel debatverzoeken ingediend met samenvoegingen, maar goed. We hebben hier twee weken geleden uitgebreid over gedebatteerd. Dat was wat mij betreft een goed debat. We hebben morgen ook een commissiedebat en er komt een plenair debat aan. Ondanks dat ik de zorgen deel, voor nu geen steun."
BBB,"Mevrouw Van der Plas (BBB): Voorzitter. Ik ga het debat steunen, maar met een kleine opmerking erbij. Als iedereen de agenda goed in de gaten houdt en kijkt van wat er al is geweest en wat er nog komt, dan kunnen we het aantal debatten misschien iets verkleinen. Ik heb begrepen dat er meer dan honderd debatten op de rol staan. Maar wel steun voor dit debat, want dit is echt iets wat Nederland heel erg bezighoudt."
Lid Keijzer,"Mevrouw Keijzer (Lid Keijzer): Dank, voorzitter. Drie dagen geleden verscheen er op de website van NieuwRechts een wat mij betreft verontrustend en goed onderbouwd artikel over mensensmokkel, waarin stond dat Ter Apel zo'n beetje het epicentrum daarvoor is. Er werd een telefoontje gevonden waar één nummer op terugkwam dat in tientallen lopende onderzoeken in vijf Europese landen werd teruggevonden. Er volgde een internationale operatie met 140 arrestaties verspreid over negen landen, die een netwerk met tienduizenden gesmokkelde mensen in beeld bracht. We hebben hier vandaag een flink aantal verzoeken gehad over het asielprobleem, maar ik zou twee dingen willen vragen. Ik wil een brief van de minister of de staatssecretaris van Justitie waarin ze ingaan op de verschillende feiten in dat artikel en of die kloppen. Ik hou mijn hart vast, want dan is het echt dweilen met de kraan open."
BBB,"Mevrouw Van der Plas (BBB): Ik wilde eigenlijk hetzelfde voorstellen. Als je de agenda's van de commissiedebatten bekijkt, zul je zien dat daar al debatten over zijn. Op 20 mei is er inderdaad een debat over mensensmokkel. Het onderwerp is superbelangrijk en het is ook heel zorgelijk, maar als we daar over een week al over kunnen debatteren, moeten we dat doen."
Groep Markuszower,"De heer Markuszower (Groep Markuszower): Voorzitter, dank u wel. Mevrouw Van der Plas heeft net ook al een debat aangevraagd over de gezagscrisis in Nederland. Als je als opa van 80 met je kleinkinderen ergens loopt en je wordt bijna omvergereden door een getinte jongeman op een fatbike, en je wordt als grootvader van 80 volledig lens geslagen door die getinte jongeman, denk ik dat we hier niet alleen een gezagscrisis hebben, maar veel meer dan dat. Ik wil daar graag over in debat, want het kan niet zo zijn dat grootvaders die met hun kleinkinderen ergens lopen, volledig in elkaar worden geslagen en dat een omstander die daarbij stond, ook nog eens door diezelfde dader in elkaar wordt geslagen. Geef die mensen alsjeblieft levenslang of gooi ze ons land uit, ik weet het niet, maar laten we er alsjeblieft over debatteren."
BBB,"Mevrouw Van der Plas (BBB): Voorzitter. Volgens de commissieagenda is er een commissiedebat Verkeersveiligheid op 21 mei. Je zou dit daarin kunnen inbrengen, omdat dit ook gaat over overlast, maar dit gaat nog verder dan dat, want ze slaan ook gewoon mensen in elkaar. Op 10 juni is er een commissiedebat Strafrechtelijke onderwerpen. Daarin zou je dit ook kunnen inbrengen. Én er komt volgens mij nog een tweeminutendebat Justitiële Jeugd. Er zijn dus drie momenten, heel kort op elkaar — dat wil ik benadrukken — waarop we dit verschrikkelijke onderwerp op tafel kunnen gooien, in plaats van dat we een jaar moeten wachten totdat dit debat een keer wordt ingepland."
Groep Markuszower,"De heer Markuszower (Groep Markuszower): Ik zal niet over het randje gaan, voorzitter, maar deze coalitie lijkt wel over het randje te gaan, namelijk over het randje van de hypotheekrenteaftrek. Daarom doe ik het volgende verzoek. De VVD had bij de verkiezingen rust in de portemonnee beloofd: handen af van de hypotheekrenteaftrek. Dat kennen we allemaal van de VVD. Toch lijkt dit punt op tafel te liggen. Voordat dit officieel op tafel ligt, wil ik graag een debat hierover met de minister, maar ook graag met de VVD-fractie, zodat de VVD hier eindelijk een keer klip-en-klaar kan zeggen dat ze de handen van de hypotheekrenteaftrek afhoudt."
GroenLinks-PvdA,"De heer Stultiens (GroenLinks-PvdA): Ik steun het debat. Er komt morgen een rapport uit. Het is goed om hierover te praten. Ik heb een aanvullend verzoek. We hebben zojuist als Kamer een motie aangenomen om de verruiming tegen te houden. Nu zegt de VVD via de pers: nee, de motie wordt toch niet uitgevoerd door staatssecretaris Eerenberg. Onacceptabel dat de VVD hier bepaalt hoe het kabinet reageert op onze motie."
GroenLinks-PvdA,"De heer Stultiens (GroenLinks-PvdA): Mijn verzoek is om voor Hemelvaart van het kabinet te horen hoe de motie wordt uitgevoerd, dat de verruiming van de hypotheekrenteaftrek niet doorgaat en dat partijen hier niet namens een D66-staatssecretaris kunnen bepalen hoe onze aangenomen motie wordt uitgevoerd."
Lid Keijzer,Mevrouw Keijzer (Lid Keijzer): Voorzitter. Ik vind het wel verstandig om geen greep te doen in de portemonnee van mensen met een motie die maar net een meerderheid krijgt. Van harte steun voor dit verzoek. De staatssecretaris en de minister kunnen dan komen uitleggen hoe ze met deze problematiek omgaan. Het gaat namelijk gewoon om huizen van mensen en hun portemonnee.
SP,"Mevrouw Beckerman (SP): Voorzitter. De parlementaire enquête over de gaswinning in Groningen trok snoeiharde conclusies. Het kabinet heeft daarna afgesproken jaarlijks verantwoording af te leggen in een zogenaamde ""Staat van Groningen"". Gisteren is die Staat van Groningen gepresenteerd. Het lijkt me goed om daarover, net als over de kabinetsreactie, die nog moet komen, een debat te houden met de minister van BZK. Voordat Kamerleden naar voren komen om te verwijzen naar het commissiedebat, wil ik nog het volgende zeggen. Ook de Kamer heeft een tik gehad van de enquêtecommissie. De Kamer heeft onvoldoende het verschil gemaakt. De agenda van het commissiedebat kent al vier pagina's aan stukken. Laten we daarom recht doen aan de zwaarte van dit rapport en hier, bij voorkeur jaarlijks, een plenair debat over houden."
SP,"Mevrouw Beckerman (SP): Ik vind dat pijnlijk. We hebben twee grote parlementaire enquêtes gehad, over het toeslagenschandaal en over Groningen, en daar moeten we volgens mij recht aan doen. Dat kan niet als we dat in een commissiedebat doen waarin al zo veel staat geagendeerd. Helaas. Ik agendeer het wel voor de lijst met dertigledendebatten."
PVV,"De heer Chris Jansen (PVV): Dank, voorzitter. Uit berichtgeving op Dwarsnieuws blijkt dat provincies in de afgelopen jaren boerenondernemers bewust in de problemen hebben gebracht. Dat heeft te maken met het feit dat zij natuurprojecten hebben opgestart in de omgeving van boerenbedrijven. Het gaat om boerenbedrijven die geen stikstofprobleem hadden, maar dat nu in één keer wel hebben. Daar worden ze mee geconfronteerd en het gevolg is dat die bedrijven gewoon worden opgedoekt. Ik denk dat het goed is om daar een gesprek over te hebben met de minister van Landbouw, Visserij, Voedselzekerheid en Natuur, en ook met elkaar. Is dit wat wij als betrouwbare overheid willen?"
PVV,"De heer Kops (PVV): De energierekening en autorijden zijn voor heel veel mensen onbetaalbaar geworden. 500.000 huishoudens leven in energiearmoede. Alsof dat allemaal nog niet erg genoeg is, is ook nog eens de Timmermanstaks in aantocht: een Europese CO2-heffing. Gas, benzine en diesel worden daardoor nog duurder dan ze nu al zijn. Huishoudens gaan tot €70 per maand, oftewel €840 per jaar, extra betalen. Dat is natuurlijk absurd. We moeten de Nederlanders behoeden voor deze klimaatgekte. Wij willen geen Timmermanstaks maar lagere lasten. Ik wil dus heel graag een debat met de minister van Klimaat en Groene Groei."
GroenLinks-PvdA,"De heer Mohandis (GroenLinks-PvdA): Voorzitter. Het langverwachte evaluatierapport over de aspirant-omroepen hebben wij gisteren mogen ontvangen. In de Mediawet is het zo geregeld dat de minister bevoegd is om een aspirant-omroep toe te laten en uiteindelijk de verantwoordelijkheid heeft om een aspirant-omroep een definitieve vergunning te geven of om op basis van onafhankelijk onderzoek te kijken of een omroep heeft voldaan. Wat blijkt? Er liggen heel veel gele kaarten voor Ongehoord Nederland, al sinds 2022. Ik kan door de bomen het bos niet meer zien. Die komen van onafhankelijke instituten die daarvoor zijn opgericht in ons bestel. Ongehoord Nederland mag zeker blijven bestaan. Maar als een omroep zich niet houdt aan de spelregels, kunnen ze ook buiten het bestel blijven bestaan. Het debat zou heel specifiek moeten gaan over de keuze die de minister voor de zomer moet maken om Ongehoord Nederland een permanente vergunning te geven of, nou ja, eruit. Daarover zou ik een debat willen met de minister van Onderwijs, Cultuur en Wetenschap, met voorafgaand een brief. Qua planning zeg ik even dat er nog geen commissiedebat is ingepland dit jaar."
BBB,"Mevrouw Van der Plas (BBB): Voorzitter. Het is altijd wel grappig dat je in Nederland een beetje wordt verketterd als je iets over de media zegt, behalve als het over sommige media gaat. Dan mag het ineens wel. Er wordt hier in de debataanvraag eigenlijk al een mening gegeven. We weten al hoe GroenLinks-PvdA erin staat, maar dat terzijde. Ik steun wel het debat. Dat is niet omdat ik het eens ben met de aanvrager, maar omdat we het er inderdaad eens goed over moeten hebben of dit allemaal wel gaat zoals het zou moeten gaan. Ik steun dus het debat."
VVD,"De heer Van der Maas (VVD): Eindelijk hebben we het rapport. In dat rapport gaat het over meer dan alleen Ongehoord Nederland. Ik zou graag eerst een brief willen hebben van de minister over het hele rapport en vervolgens een debat voeren over het hele rapport en haar reactie daarop. Dat kan ook in de commissie, dus geen steun."
GroenLinks-PvdA,"De heer De Hoop (GroenLinks-PvdA): Voorzitter. Een woning is voor gewone mensen onbetaalbaar geworden. Het was de belofte van dit nieuwe kabinet om dat op te lossen, met ook een nieuwe minister op Wonen. We waren allemaal ontzettend benieuwd naar haar plannen. Die zijn er nu, maar tot mijn verbazing kiest het rechtse minderheidskabinet ervoor om exact dezelfde maatregelen als die van het vorige kabinet, het PVV-kabinet, voort te zetten: het versoepelen van de Wet betaalbare huur. Dat zorgt ervoor dat gewone mensen veel meer huur moeten gaan betalen en dat pandjesbazen flink gaan profiteren. Mijn eerste vraag aan de minister is waar dit plan vandaan komt en bij welke partij dit in het verkiezingsprogramma stond."
GroenLinks-PvdA,"De heer De Hoop (GroenLinks-PvdA): Dank, voorzitter. Ik heb eerder aangevraagd om het commissiedebat Woningbouwopgave om te zetten naar een plenair debat. Dat debat stond eind mei gepland, maar het staat in de plenaire agenda niet in mei ingepland. Ik zou willen verzoeken om het debat wel in mei plenair met elkaar te voeren."
BBB,Mevrouw Van der Plas (BBB): Voorzitter. Ik noem even een paar dingen kort op. Er zijn veertien roedels wolven in Nederland. Er is een brandbrief geschreven door de Statenleden van de provincie Drenthe. Er is inmiddels een wolf gespot in Limburg. Een wolf heeft recent een schaapskudde aangevallen op het Balloërveld. Dankzij ingrijpen van de herder is erger voorkomen. Er waren zelfs mensen getuige van. Vorig jaar waren er 888 aanvallen op vee en dit aantal groeit elk jaar. Ik sta hier opnieuw om een debat aan te vragen over de wolf in Nederland. Het is totaal onhoudbaar. Ik hoop dat de Kamer dit inziet en mijn verzoek om een debat steunt.
BBB,"Mevrouw Van der Plas (BBB): Dat is jammer. Ik vraag juist om een plenair debat, omdat het in een commissiedebat bijna nooit aan de orde komt vanwege alle andere grote opgaven die we hebben. Dan zullen slechts een of twee partijen daar aandacht aan besteden. Dat is de reden waarom ik een plenair debat wil."
GroenLinks-PvdA,"De heer Klaver (GroenLinks-PvdA): Voorzitter, dank. Dit is een minderheidskabinet, met 66 zetels. Eerder werd al duidelijk dat plannen rondom de AOW niet kunnen rekenen op een meerderheid. Het is ook duidelijk geworden dat de plannen rondom de zorg en het eigen risico niet kunnen rekenen op een meerderheid. Vandaag is ook gebleken dat de asielplannen van dit kabinet niet kunnen rekenen op een meerderheid in de Staten-Generaal. Daarom wil ik graag een debat met de minister-president en de vicepremiers over de kabinetsbrede strategie voor hoe tot meerderheden te komen."
DENK,"De heer Ergin (DENK): Voorzitter, dank je wel. Aan de ene kant heeft het kabinet meer dan 600 zelfstandigen gevraagd om gedupeerde toeslagenouders te helpen, maar aan de andere kant sleutelde het kabinet ook aan de aanpak van schijnzelfstandigheid, waarbij het bijna onmogelijk werd om als schijnzelfstandige aan de slag te gaan. Deze groep van 600 kreeg de toezegging dat ze niet financieel op zouden moeten draaien voor de kosten die de naheffing met zich mee zou brengen. Die toezegging is niet nageleefd. Voorzitter. De Kamer heeft net twee moties aangenomen. Ik hoop dat de regering deze moties zo snel mogelijk gaat uitvoeren. Net als bij alle andere thema's van het toeslagenschandaal moeten we een vinger aan de pols houden. Daarom vraag ik een debat aan met de staatssecretaris Herstel Toeslagen."
GroenLinks-PvdA,"Mevrouw Westerveld (GroenLinks-PvdA): De Kamer heeft net drie moties aangenomen. Deze discussie is vorige week in het debat over schijnzelfstandigheid ook gevoerd. Ik wil ook eerst weten hoe het kabinet deze moties gaat uitvoeren, want als het deze moties gaat uitvoeren, hebben we geen probleem en hoeft er geen debat te komen."
DENK,"De heer Ergin (DENK): Voorzitter. Mijn tweede verzoek gaat over de jaarlijkse Staat van het Onderwijs, waaruit weer blijkt dat het niet goed gaat met het onderwijs in Nederland. Uit de Staat van het Onderwijs blijkt dat het onderwijssysteem als een soort postcodeloterij werkt, waarbij niet je talenten, je vaardigheden, maar je postcode doorslaggevender en bepalender is. We zien in de Staat van het Onderwijs ook dat de onderwijskwaliteit onder druk staat, dat het niet goed gaat met de basisvaardigheden, dat het geweld toeneemt, en zo kan ik nog even doorgaan. Het is gepast om een breed debat te voeren over de Staat van het Onderwijs als dit rapport er komt. Via deze weg vraag ik dat debat aan, met zowel de staatssecretaris als de minister van Onderwijs."
BBB,"Mevrouw Van der Plas (BBB): Ik steun dit verzoek zeker. Ik heb nog wel een vraag, want ook de Staat van het Praktijkonderwijs is uitgekomen. Nou hebben we deze week een commissiedebat over praktijkonderwijs, maar die tijd is altijd vrij kort, dus ik vermoed dat daar ook niet alles naar voren gebracht kan worden. Ik zou het rapport over de Staat van het Praktijkonderwijs eigenlijk ook graag bij dit debat willen betrekken."
DENK,"De heer Ergin (DENK): Jammer. Voorzitter. Een overheid die de waarheid opsluit, verspeelt elk recht op vertrouwen. Precies dat is gebeurd bij de Belastingdienst. De waarheid kwam niet boven tafel, werd niet met het parlement gedeeld, werd niet met toeslagenouders gedeeld, maar werd achter slot en grendel weggestopt. 64 miljoen documenten zijn jarenlang verborgen in een kluis. Voor de toeslagenouders, voor de gedupeerde ouders, is dit keihard, want zij zoeken al jaren naar deze waarheid. Die waarheid is er, maar die wordt niet gedeeld."
DENK,"De heer Ergin (DENK): Voorzitter, ik hoop dat u mij toestaat om het verzoek wat nader toe te lichten. Wat het nog erger maakt, is dat het kabinet al negen maanden wist dat deze digitale kluis er was en dat die 64 miljoen documenten niet werden gedeeld. Omdat dit geen vergissing is, wil ik daarover graag een debat met beide staatssecretarissen. Ik vraag dit debat aan voor in de week direct na het meireces. Dat wil ik er graag bij vermelden. Ik heb ook een informatieverzoek over de volgende zaken: een volledige tijdlijn vanaf het moment dat het bestaan van de digitale kluis werd gedeeld met de staatssecretaris, twee, correspondentie en relevante documenten over deze digitale kluis, en drie, een overzicht als blijkt dat er nog meer datakluizen zijn, inclusief de omvang van deze datakluizen."
JA21,"De heer Ceulemans (JA21): Voorzitter. Ik steun een debat hierover, maar wel op het moment dat we de informatie hebben om het debat over te kunnen voeren. Ik steun dus het informatieverzoek, maar als de heer Ergin zegt ""ik wil het meteen in de week na het meireces"", dan lijkt me de kans nul dat we de juiste informatie hebben om over te debatteren. Als dat een harde voorwaarde is, dan geen steun. Als het een verzoek is om een debat op het moment dat de informatie beschikbaar is, dan wel steun."
GroenLinks-PvdA,"Mevrouw Lahlah (GroenLinks-PvdA): Voorzitter. Afgelopen donderdag verscheen het rapport Schrijnende keuzes, van Kinderhulp. De titel zegt eigenlijk alles. Het gaat over kinderen die hun verjaardag niet vieren, over gezinnen die de verwarming uit laten en over ouders die moeten kiezen tussen eten, een bril of kleding. Dit zijn geen incidenten, maar structurele, onmogelijke keuzes waarmee gezinnen te maken hebben. Daarom is mijn verzoek tweeledig. Ten eerste vraag ik een kabinetsreactie op dit rapport. Ten tweede zou ik graag een debat willen met de minister van Sociale Zaken."
GroenLinks-PvdA,"Mevrouw Kathmann (GroenLinks-PvdA): Dank, voorzitter. Er ligt een Kameruitspraak dat DigiD in Nederlandse handen gebracht moet worden. We hebben zojuist massaal gestemd voor een motie die erom vraagt om, zodra dat kan, na overname de overheidscontracten eruit te trekken. Voor zover de Kamer is geïnformeerd, kan dat in 2028. Maar nu blijkt — de informatie blijft binnendruppelen — dat het deze zomer kan. Nu is de vraag als volgt. Wij moeten voor de zomer met elkaar in debat om de politieke vraag ""wat is onze digitale identiteit in Nederland ons waard?"" te beantwoorden. Dat is een politieke vraag. 175.000 Nederlanders hebben de petitie ondertekend om de Amerikaanse overname van DigiD te stoppen. Daarom vraag ik een debat aan met de minister en de staatssecretaris van Economische Zaken."
Groep Markuszower,"De heer Heutink (Groep Markuszower): Voorzitter. Dit bericht gaat ook over een klokkenluider. Allereerst wil ik een brief van het kabinet over hoe het deze klokkenluider als melder gaat beschermen. Dat wil ik graag weten van het kabinet, voordat dit debat gaat plaatsvinden. Maar natuurlijk van harte steun voor dit belangrijke onderwerp."
SGP,"De heer Flach (SGP): Voorzitter. Opnieuw komen er nieuwe feiten naar voren. Ik steun het debat, mede namens de ChristenUnie. Ik zou zo spoedig mogelijk een brief van het kabinet willen over de deadline. Ik wil het kabinet verzoeken om geen onomkeerbare stappen te zetten en om het voorbehoud op te nemen dat er niet tot verlenging wordt overgegaan zonder dat de Kamer daarover heeft gesproken."
D66,"Mevrouw El Boujdaini (D66): Het is een superbelangrijk onderwerp, maar geen steun. We hebben ook nog een commissiedebat staan nadat we advies krijgen naar aanleiding van een BTI-toets. Ik zou daar graag eventueel een plenair debat over willen, maar ik wil wel graag dat we eerst het proces van de BTI-toets aflopen en dat we nog een technische briefing krijgen, zoals vanochtend stond in de brief van het kabinet aan de Kamer."
D66,"Mevrouw Rooderkerk (D66): Dank, voorzitter. Maar liefst een op de drie kinderen kan niet goed genoeg lezen en schrijven om mee te komen in de samenleving. Rapport na rapport laat zien dat het leesniveau in Nederland daalt. Inmiddels bungelen wij onderaan in Europa als het gaat om het niveau van lezen en schrijven. Ook ten aanzien van rekenen zijn er zorgen. Daarom wil ik graag een plenair debat aanvragen over de dalende leerprestaties in het onderwijs. Ik hoop op uw steun daarvoor."
Volt,"De heer Dassen (Volt): Dank, voorzitter. De politiek heeft te weinig oog voor toekomstige generaties. De Raad van State noemt dat de ""tirannie van het hedendaagse"". De belangen van toekomstige generaties zijn versnipperd. Het is niet duidelijk waar ze liggen. Het is dus moeilijk voor de politiek om toezicht te houden op hoe die belangen gewaarborgd worden. Daar zou ik graag een debat over willen voeren met het kabinet."
D66,"De heer Mathlouti (D66): Voorzitter, dank. Ik heb inderdaad een verzoek namens mijn collega Van Asten. We moeten de komende jaren veel meer gaan bouwen voor alle woningzoekenden wier levens nu op pauze staan. Gisteren heeft de Ministeriële Taskforce Versnelling Woningbouw hun eerste plannen gepresenteerd. Ik ben blij dat het kabinet binnen enkele weken al de eerste resultaten laat zien, maar dat is niet genoeg. Het kabinet geeft aan na de zomer met een plan te komen. Ik heb het verzoek om zo snel mogelijk daarna een debat in te plannen."
D66,De heer Neijenhuis (D66): Voorzitter. Dit is nog een verzoek over het enorme woningtekort in Nederland. We moeten met z'n allen veel meer gaan bouwen. Daarvoor moeten we enorm veel goed woonbeleid gaan voeren met z'n allen. Maar we kunnen nergens mee beginnen zonder mensen in de bouw die die woningen ook daadwerkelijk gaan bouwen. Daarom wil ik een plan horen van het kabinet ten aanzien van de verontrustende berichten over de grote arbeidsmarkttekorten in de bouw en de bouwbedrijven die omvallen. Daar wil ik graag een brief over. Daarna wil ik daar snel met elkaar over in debat gaan.
Lid Keijzer,"Mevrouw Keijzer (Lid Keijzer): Sorry hoor, voorzitter. Er komt een pakket om mensen te steunen in de hoge energierekeningen. Daar zit uitsluitend verduurzaming in, terwijl er geen bouwvakkers zijn. Daar vraagt D66 vervolgens een debat over aan. Dit is zo de kluit in de maling nemen. Om deze reden kan ik dit niet steunen."
